"","Annee","Effort","Espece","abond","abond_std","nb_HY","nb_AHY","nb_tot","cond_moy_HY","cond_moy_AHY","prop_HY","irruption"
"1",1996,399,"DUSA",450,1.128,NA,NA,NA,NA,NA,NA,"0"
"2",1997,433,"DUSA",4358,10.065,NA,NA,NA,NA,NA,NA,"0"
"3",1998,402,"DUSA",728,1.811,NA,NA,NA,NA,NA,NA,"0"
"4",1999,403,"DUSA",8336,20.685,NA,NA,NA,NA,NA,NA,"1"
"5",2000,410,"DUSA",782,1.907,NA,NA,NA,NA,NA,NA,"0"
"6",2001,425,"DUSA",8193,19.278,NA,NA,NA,NA,NA,NA,"0"
"7",2002,464,"DUSA",862,1.858,NA,NA,NA,NA,NA,NA,"0"
"8",2003,579,"DUSA",3208,5.541,NA,NA,NA,NA,NA,NA,"0"
"9",2004,546,"DUSA",1421,2.603,NA,NA,NA,NA,NA,NA,"0"
"10",2005,502,"DUSA",1440,2.869,NA,NA,NA,NA,NA,NA,"0"
"11",2006,442,"DUSA",2708,6.127,NA,NA,NA,NA,NA,NA,"0"
"12",2007,457,"DUSA",5150,11.269,88,128,216,2.057,2.033,0.407,"0"
"13",2008,419,"DUSA",1309,3.124,54,22,76,1.978,1.953,0.711,"0"
"14",2009,420,"DUSA",2300,5.476,81,21,102,1.898,1.934,0.794,"0"
"15",2010,392,"DUSA",909,2.319,18,6,24,1.835,1.869,0.75,"0"
"16",2011,461,"DUSA",1791,3.885,2,4,6,1.865,1.905,0.333,"0"
"17",2012,402,"DUSA",3160,7.861,139,118,257,2.055,2.01,0.541,"0"
"18",2013,383,"DUSA",1460,3.812,172,140,312,1.989,1.981,0.551,"0"
"19",2014,430,"DUSA",10472,24.353,153,15,168,2.011,1.983,0.911,"1"
"20",2015,430,"DUSA",6658,15.484,149,176,325,1.917,1.901,0.458,"0"
"21",2016,451,"DUSA",13870,30.754,412,583,995,2.029,2.008,0.414,"1"
"22",2017,425,"DUSA",2621,6.167,14,8,22,1.972,1.99,0.636,"0"
"23",2018,422,"DUSA",6947,16.462,109,186,295,2.029,1.992,0.369,"0"
"24",2019,402,"DUSA",249,0.619,0,0,0,NA,NA,NA,"0"
"25",2020,456,"DUSA",5414,11.873,83,208,291,2.144,2.07,0.285,"0"
"26",2021,449,"DUSA",5729,12.759,64,30,94,1.91,1.9,0.681,"0"
"27",2022,310,"DUSA",14389,46.416,171,72,243,2.073,2.049,0.704,"1"
"28",2023,429,"DUSA",5628,13.119,16,13,29,1.905,1.868,0.552,"0"
"29",2024,451,"DUSA",3481,7.718,1,0,1,2.161,NA,1,"0"
"30",2025,573.5,"DUSA",10669,18.603,22,12,34,1.924,1.98,0.647,"0"
