"","Annee","Effort","Espece","abond","abond_std","nb_HY","nb_AHY","nb_tot","cond_moy_HY","cond_moy_AHY","prop_HY","irruption"
"1",1996,399,"JABO",7,0.018,NA,NA,NA,NA,NA,NA,"0"
"2",1997,433,"JABO",615,1.42,NA,NA,NA,NA,NA,NA,"0"
"3",1998,402,"JABO",4686,11.657,NA,NA,NA,NA,NA,NA,"1"
"4",1999,403,"JABO",1609,3.993,NA,NA,NA,NA,NA,NA,"0"
"5",2000,410,"JABO",1804,4.4,NA,NA,NA,NA,NA,NA,"0"
"6",2001,425,"JABO",949,2.233,NA,NA,NA,NA,NA,NA,"0"
"7",2002,464,"JABO",2014,4.341,NA,NA,NA,NA,NA,NA,"0"
"8",2003,579,"JABO",135,0.233,NA,NA,NA,NA,NA,NA,"0"
"9",2004,546,"JABO",520,0.952,NA,NA,NA,NA,NA,NA,"0"
"10",2005,502,"JABO",1178,2.347,NA,NA,NA,NA,NA,NA,"0"
"11",2006,442,"JABO",1,0.002,NA,NA,NA,NA,NA,NA,"0"
"12",2007,457,"JABO",2232,4.884,6,8,14,2.283,2.178,0.429,"0"
"13",2008,419,"JABO",6889,16.442,62,13,75,2.013,1.994,0.827,"1"
"14",2009,420,"JABO",4592,10.933,67,16,83,2.011,1.971,0.807,"1"
"15",2010,392,"JABO",3672,9.367,48,54,102,2.237,2.143,0.471,"0"
"16",2011,461,"JABO",892,1.935,0,0,0,NA,NA,NA,"0"
"17",2012,402,"JABO",1865,4.639,19,20,39,2.287,2.265,0.487,"0"
"18",2013,383,"JABO",2550,6.658,90,7,97,2.084,2.167,0.928,"0"
"19",2014,430,"JABO",91,0.212,0,0,0,NA,NA,NA,"0"
"20",2015,430,"JABO",2354,5.474,87,110,197,2.117,2.062,0.442,"0"
"21",2016,451,"JABO",3825,8.481,57,86,143,2.184,2.099,0.399,"0"
"22",2017,425,"JABO",190,0.447,0,0,0,NA,NA,NA,"0"
"23",2018,422,"JABO",688,1.63,14,49,63,2.301,2.319,0.222,"0"
"24",2019,402,"JABO",8,0.02,0,0,0,NA,NA,NA,"0"
"25",2020,456,"JABO",1417,3.107,7,14,21,2.17,2.301,0.333,"0"
"26",2021,449,"JABO",4659,10.376,11,3,14,2.027,1.977,0.786,"1"
"27",2022,310,"JABO",1701,5.487,21,23,44,2.09,2.152,0.477,"0"
"28",2023,429,"JABO",6287,14.655,21,10,31,2.194,1.982,0.677,"1"
"29",2024,451,"JABO",212,0.47,0,0,0,NA,NA,NA,"0"
"30",2025,573.5,"JABO",4124,7.191,11,17,28,1.998,2.03,0.393,"0"
