"","Annee","Effort","Espece","abond","abond_std","nb_HY","nb_AHY","nb_tot","cond_moy_HY","cond_moy_AHY","prop_HY","irruption"
"1",1996,399,"SIFL",1396,3.499,NA,NA,NA,NA,NA,NA,"0"
"2",1997,433,"SIFL",6602,15.247,NA,NA,NA,NA,NA,NA,"0"
"3",1998,402,"SIFL",19439,48.356,NA,NA,NA,NA,NA,NA,"0"
"4",1999,403,"SIFL",2314,5.742,NA,NA,NA,NA,NA,NA,"0"
"5",2000,410,"SIFL",8838,21.556,NA,NA,NA,NA,NA,NA,"0"
"6",2001,425,"SIFL",4793,11.278,NA,NA,NA,NA,NA,NA,"0"
"7",2002,464,"SIFL",578,1.246,NA,NA,NA,NA,NA,NA,"0"
"8",2003,579,"SIFL",18654,32.218,NA,NA,NA,NA,NA,NA,"0"
"9",2004,546,"SIFL",5630,10.311,NA,NA,NA,NA,NA,NA,"0"
"10",2005,502,"SIFL",3027,6.03,NA,NA,NA,NA,NA,NA,"0"
"11",2006,442,"SIFL",26387,59.699,NA,NA,NA,NA,NA,NA,"0"
"12",2007,457,"SIFL",3981,8.711,19,35,54,5.584,5.323,0.352,"0"
"13",2008,419,"SIFL",29158,69.589,66,57,123,5.529,5.591,0.537,"0"
"14",2009,420,"SIFL",2719,6.474,10,6,16,5.648,5.565,0.625,"0"
"15",2010,392,"SIFL",9230,23.546,121,17,138,5.517,5.645,0.877,"0"
"16",2011,461,"SIFL",53369,115.768,258,153,411,5.692,5.694,0.628,"0"
"17",2012,402,"SIFL",3297,8.201,294,247,541,5.867,5.762,0.543,"0"
"18",2013,383,"SIFL",41,0.107,0,0,0,NA,NA,NA,"0"
"19",2014,430,"SIFL",17707,41.179,409,171,580,5.61,5.52,0.705,"0"
"20",2015,430,"SIFL",208862,485.726,471,217,688,5.45,5.416,0.685,"1"
"21",2016,451,"SIFL",3951,8.761,188,64,252,5.789,5.576,0.746,"0"
"22",2017,425,"SIFL",89692,211.04,88,20,108,5.661,5.562,0.815,"1"
"23",2018,422,"SIFL",3951,9.363,49,49,98,5.937,5.655,0.5,"0"
"24",2019,402,"SIFL",580,1.443,0,0,0,NA,NA,NA,"0"
"25",2020,456,"SIFL",9374,20.557,407,141,548,6.112,6.013,0.743,"0"
"26",2021,449,"SIFL",260704,580.633,224,56,280,5.631,5.617,0.8,"1"
"27",2022,310,"SIFL",6571,21.197,58,15,73,5.638,5.426,0.795,"0"
"28",2023,429,"SIFL",70845,165.14,236,97,333,5.684,5.637,0.709,"1"
"29",2024,451,"SIFL",86,0.191,3,6,9,5.228,5.393,0.333,"0"
"30",2025,573.5,"SIFL",18794,32.771,13,4,17,5.701,5.646,0.765,"0"
