"","Annee","Effort","Espece","abond","abond_std","nb_HY","nb_AHY","nb_tot","cond_moy_HY","cond_moy_AHY","prop_HY","irruption"
"1",1996,399,"TAPI",16901,42.358,NA,NA,NA,NA,NA,NA,"0"
"2",1997,433,"TAPI",2756,6.365,NA,NA,NA,NA,NA,NA,"0"
"3",1998,402,"TAPI",7706,19.169,NA,NA,NA,NA,NA,NA,"0"
"4",1999,403,"TAPI",680,1.687,NA,NA,NA,NA,NA,NA,"0"
"5",2000,410,"TAPI",18487,45.09,NA,NA,NA,NA,NA,NA,"0"
"6",2001,425,"TAPI",2167,5.099,NA,NA,NA,NA,NA,NA,"0"
"7",2002,464,"TAPI",724,1.56,NA,NA,NA,NA,NA,NA,"0"
"8",2003,579,"TAPI",1955,3.377,NA,NA,NA,NA,NA,NA,"0"
"9",2004,546,"TAPI",3971,7.273,NA,NA,NA,NA,NA,NA,"0"
"10",2005,502,"TAPI",1473,2.934,NA,NA,NA,NA,NA,NA,"0"
"11",2006,442,"TAPI",6224,14.081,NA,NA,NA,NA,NA,NA,"0"
"12",2007,457,"TAPI",3084,6.748,150,19,169,5.588,5.441,0.888,"0"
"13",2008,419,"TAPI",16882,40.291,218,193,411,5.435,5.494,0.53,"0"
"14",2009,420,"TAPI",1357,3.231,155,97,252,5.229,5.256,0.615,"0"
"15",2010,392,"TAPI",1923,4.906,252,84,336,5.359,5.441,0.75,"0"
"16",2011,461,"TAPI",30768,66.742,727,231,958,5.582,5.533,0.759,"0"
"17",2012,402,"TAPI",3916,9.741,72,6,78,5.544,5.639,0.923,"0"
"18",2013,383,"TAPI",2732,7.133,0,0,0,NA,NA,NA,"0"
"19",2014,430,"TAPI",13581,31.584,1358,130,1488,5.477,5.448,0.913,"0"
"20",2015,430,"TAPI",27935,64.965,599,110,709,5.337,5.397,0.845,"0"
"21",2016,451,"TAPI",3650,8.093,137,232,369,5.63,5.561,0.371,"0"
"22",2017,425,"TAPI",154888,364.442,2266,502,2768,5.539,5.553,0.819,"1"
"23",2018,422,"TAPI",10373,24.581,190,131,321,5.686,5.616,0.592,"0"
"24",2019,402,"TAPI",40308,100.269,1133,275,1408,5.525,5.53,0.805,"1"
"25",2020,456,"TAPI",2252,4.939,37,15,52,6.005,5.67,0.712,"0"
"26",2021,449,"TAPI",16601,36.973,369,169,538,5.522,5.469,0.686,"0"
"27",2022,310,"TAPI",2232,7.2,34,17,51,5.555,5.451,0.667,"0"
"28",2023,429,"TAPI",63762,148.629,202,34,236,5.535,5.549,0.856,"1"
"29",2024,451,"TAPI",13083,29.009,254,54,308,5.533,5.563,0.825,"0"
"30",2025,573.5,"TAPI",21898,38.183,64,41,105,5.445,5.423,0.61,"0"
