"","Annee","Effort","Espece","abond"
"1",1996,399,"DUSA",450
"2",1996,399,"JABO",7
"3",1996,399,"SIFL",1396
"4",1996,399,"TAPI",16901
"5",1997,433,"DUSA",4358
"6",1997,433,"JABO",615
"7",1997,433,"SIFL",6602
"8",1997,433,"TAPI",2756
"9",1998,402,"DUSA",728
"10",1998,402,"JABO",4686
"11",1998,402,"SIFL",19439
"12",1998,402,"TAPI",7706
"13",1999,403,"DUSA",8336
"14",1999,403,"JABO",1609
"15",1999,403,"SIFL",2314
"16",1999,403,"TAPI",680
"17",2000,410,"DUSA",782
"18",2000,410,"JABO",1804
"19",2000,410,"SIFL",8838
"20",2000,410,"TAPI",18487
"21",2001,425,"DUSA",8193
"22",2001,425,"JABO",949
"23",2001,425,"SIFL",4793
"24",2001,425,"TAPI",2167
"25",2002,464,"DUSA",862
"26",2002,464,"JABO",2014
"27",2002,464,"SIFL",578
"28",2002,464,"TAPI",724
"29",2003,579,"DUSA",3208
"30",2003,579,"JABO",135
"31",2003,579,"SIFL",18654
"32",2003,579,"TAPI",1955
"33",2004,546,"DUSA",1421
"34",2004,546,"JABO",520
"35",2004,546,"SIFL",5630
"36",2004,546,"TAPI",3971
"37",2005,502,"DUSA",1440
"38",2005,502,"JABO",1178
"39",2005,502,"SIFL",3027
"40",2005,502,"TAPI",1473
"41",2006,442,"DUSA",2708
"42",2006,442,"JABO",1
"43",2006,442,"SIFL",26387
"44",2006,442,"TAPI",6224
"45",2007,457,"DUSA",5150
"46",2007,457,"JABO",2232
"47",2007,457,"SIFL",3981
"48",2007,457,"TAPI",3084
"49",2008,419,"DUSA",1309
"50",2008,419,"JABO",6889
"51",2008,419,"SIFL",29158
"52",2008,419,"TAPI",16882
"53",2009,420,"DUSA",2300
"54",2009,420,"JABO",4592
"55",2009,420,"SIFL",2719
"56",2009,420,"TAPI",1357
"57",2010,392,"DUSA",909
"58",2010,392,"JABO",3672
"59",2010,392,"SIFL",9230
"60",2010,392,"TAPI",1923
"61",2011,461,"DUSA",1791
"62",2011,461,"JABO",892
"63",2011,461,"SIFL",53369
"64",2011,461,"TAPI",30768
"65",2012,402,"DUSA",3160
"66",2012,402,"JABO",1865
"67",2012,402,"SIFL",3297
"68",2012,402,"TAPI",3916
"69",2013,383,"DUSA",1460
"70",2013,383,"JABO",2550
"71",2013,383,"SIFL",41
"72",2013,383,"TAPI",2732
"73",2014,430,"DUSA",10472
"74",2014,430,"JABO",91
"75",2014,430,"SIFL",17707
"76",2014,430,"TAPI",13581
"77",2015,430,"DUSA",6658
"78",2015,430,"JABO",2354
"79",2015,430,"SIFL",208862
"80",2015,430,"TAPI",27935
"81",2016,451,"DUSA",13870
"82",2016,451,"JABO",3825
"83",2016,451,"SIFL",3951
"84",2016,451,"TAPI",3650
"85",2017,425,"DUSA",2621
"86",2017,425,"JABO",190
"87",2017,425,"SIFL",89692
"88",2017,425,"TAPI",154888
"89",2018,422,"DUSA",6947
"90",2018,422,"JABO",688
"91",2018,422,"SIFL",3951
"92",2018,422,"TAPI",10373
"93",2019,402,"DUSA",249
"94",2019,402,"JABO",8
"95",2019,402,"SIFL",580
"96",2019,402,"TAPI",40308
"97",2020,456,"DUSA",5414
"98",2020,456,"JABO",1417
"99",2020,456,"SIFL",9374
"100",2020,456,"TAPI",2252
"101",2021,449,"DUSA",5729
"102",2021,449,"JABO",4659
"103",2021,449,"SIFL",260704
"104",2021,449,"TAPI",16601
"105",2022,310,"DUSA",14389
"106",2022,310,"JABO",1701
"107",2022,310,"SIFL",6571
"108",2022,310,"TAPI",2232
"109",2023,429,"DUSA",5628
"110",2023,429,"JABO",6287
"111",2023,429,"SIFL",70845
"112",2023,429,"TAPI",63762
"113",2024,451,"DUSA",3481
"114",2024,451,"JABO",212
"115",2024,451,"SIFL",86
"116",2024,451,"TAPI",13083
"117",2025,573.5,"DUSA",10669
"118",2025,573.5,"JABO",4124
"119",2025,573.5,"SIFL",18794
"120",2025,573.5,"TAPI",21898
