"","Espece","Age","Aile","Masse","Annee"
"1","TAPI","HY",70,13.3,1
"2","TAPI","HY",72,12.4,1
"3","TAPI","HY",68,12.3,1
"4","TAPI","HY",70,12.5,1
"5","TAPI","HY",71,12.8,1
"6","TAPI","HY",70,12.5,1
"7","TAPI","HY",67,12.4,1
"8","TAPI","HY",72,13.3,1
"9","TAPI","HY",68,12,1
"10","TAPI","HY",73,12.7,1
"11","TAPI","HY",67,12.5,1
"12","TAPI","HY",71,12.1,1
"13","TAPI","HY",69,14.4,1
"14","TAPI","HY",70,13.4,1
"15","TAPI","HY",73,12.7,1
"16","TAPI","HY",73,11.9,1
"17","TAPI","HY",71,12.5,1
"18","TAPI","HY",70,12.7,1
"19","TAPI","HY",72,12.7,1
"20","TAPI","HY",68,14.4,1
"21","TAPI","HY",70,13.1,1
"22","TAPI","HY",71,11.5,1
"23","TAPI","HY",71,13.4,1
"24","TAPI","HY",69,12.2,1
"25","TAPI","HY",71,13,1
"26","TAPI","AHY",67,13.3,1
"27","TAPI","HY",68,10.4,1
"28","TAPI","HY",75,12.9,1
"29","TAPI","HY",71,13.6,1
"30","TAPI","HY",74,12.9,1
"31","TAPI","HY",68,13,1
"32","TAPI","HY",70,12.5,1
"33","TAPI","HY",NA,NA,1
"34","TAPI","HY",72,11.5,1
"35","TAPI","HY",69,12.3,1
"36","TAPI","HY",70,12.5,1
"37","TAPI","HY",69,12.1,1
"38","TAPI","HY",69,12.9,1
"39","TAPI","HY",73,13.4,1
"40","TAPI","HY",68,12.7,1
"41","TAPI","HY",72,12.7,1
"42","TAPI","HY",70,11.6,1
"43","TAPI","HY",71,13,1
"44","TAPI","AHY",72,11.8,1
"45","TAPI","HY",71,11.6,1
"46","TAPI","HY",71,12.7,1
"47","TAPI","HY",73,11.8,1
"48","TAPI","HY",72,13,1
"49","TAPI","HY",72,14.8,1
"50","TAPI","HY",72,14.9,1
"51","TAPI","HY",67,12.1,1
"52","TAPI","HY",72,12.2,1
"53","TAPI","HY",73,13,1
"54","TAPI","HY",72,12.4,1
"55","TAPI","HY",72,12.2,1
"56","TAPI","HY",72,NA,1
"57","TAPI","HY",73,10.7,1
"58","TAPI","HY",72,12.2,1
"59","TAPI","HY",68,11.6,1
"60","TAPI","HY",71,12.3,1
"61","TAPI","HY",69,11.5,1
"62","TAPI","HY",70,11.6,1
"63","TAPI","HY",68,11.6,1
"64","TAPI","HY",70,13.2,1
"65","TAPI","HY",69,12.9,1
"66","TAPI","HY",69,12.2,1
"67","TAPI","HY",72,13.3,1
"68","TAPI","HY",68,12.9,1
"69","TAPI","AHY",72,12.3,1
"70","TAPI","HY",73,12.1,1
